,base_name,max_slice,max_slice_final,gfp_mean,gfp_median,gfp_loQ,gfp_hiQ,otsu_threshold,mean_blob,min_blob,max_blob,bf_loQ,bf_hiQ
0,1116_nHS_007,10,10,186.96855889187867,185.0,170.0,518.0,1218,2258.511132623427,1192.0,4142.0,109.0,455.0
1,1116_nHS_009,9,9,183.04002162388392,181.0,167.0,399.0,1219,2261.673835125448,1158.0,4029.0,110.0,431.0
2,1116_nHS_008,10,10,190.24354030661388,185.0,168.0,1592.0,1070,1932.6855228256318,995.5,3584.0,103.0,528.0
3,1116_nHS_001,10,10,185.23066511359465,182.0,169.0,1018.0,857,1595.4576189502686,820.5,2331.0,107.0,659.0
4,1116_nHS_006,10,10,182.97838949363992,181.0,167.0,533.0,1003,1831.5339682539682,941.0,3578.0,109.0,409.0
5,1116_nHS_010,0,10,193.01426431017612,190.0,176.0,434.0,644,1103.1221153846154,600.0,1675.0,109.0,494.0
6,1116_nHS_005,10,10,183.56439101486058,180.0,167.0,454.0,1153,2127.9661157024793,1026.0,3650.0,109.0,456.0
7,1116_nHS_002,9,9,183.39144509272566,181.0,167.0,699.0,1098,2024.0700164744646,1094.0,3329.0,109.0,500.0
8,1116_nHS_003,9,9,183.69827610919154,181.0,167.0,651.0,1087,1841.6581599708907,1051.5,2808.5,107.0,453.0
9,1116_nHS_004,12,12,185.1365240586014,181.0,167.0,591.0,1591,3007.825,1488.0,4746.0,106.0,535.3888999996707
10,1116_HS_004,10,10,188.18644078323752,182.0,168.0,1817.8890000004321,1441,2670.1477111495888,1367.5,4254.0,108.0,460.0
11,1116_HS_003,2,10,190.43836571978963,182.0,168.0,1021.9445000002161,1386,2585.0179833012203,1280.0,4331.0,106.0,554.0
12,1116_HS_020,7,7,197.67436131665852,192.0,173.0,1054.944500000216,1131,2067.401433691756,1051.0,3888.0,105.0,560.0
13,1116_HS_012,16,10,185.90995630312807,180.0,167.0,1363.0,1143,2104.146201232033,1054.0,3519.0,109.0,482.3888999996707
14,1116_HS_015,11,11,185.7985577070083,182.0,168.0,828.0,776,1275.846468169126,719.0,1788.0,107.0,787.0
15,1116_HS_002,8,8,187.48605006268346,181.0,167.0,1709.0,1180,2219.4083220568336,1056.0,3588.0,107.0,479.0
16,1116_HS_005,9,9,185.50249515540912,181.0,167.0,1174.944500000216,1392,2608.509505703422,1335.0,4818.0,108.0,455.0
17,1116_HS_014,4,10,189.67241105828035,182.0,167.0,2060.0,1347,,,,110.0,410.0
18,1116_HS_013,13,13,182.66059675421965,180.0,166.0,579.0,1059,1939.7182817182818,1054.0,2866.0,104.0,467.0
19,1116_HS_021,11,11,185.3152779954287,181.0,167.0,955.0,1223,2264.921037463977,1151.0,3820.0,109.0,471.0
20,1116_HS_010,7,7,183.24089752018102,180.0,166.0,424.0,1220,2267.065643648764,1184.0,5641.0,111.0,408.0
21,1116_HS_017,12,12,187.33944767841854,182.0,167.0,1514.944500000216,1213,1869.2866557423768,1122.0,2856.0,106.0,478.0
22,1116_HS_019,0,10,191.26154961931263,182.0,166.0,1036.8890000004321,1284,2383.710857828434,1200.0,3453.0,105.0,454.0
23,1116_HS_022,3,10,189.01187306980796,181.0,167.0,1598.0,1397,2610.0315589353613,1226.0,4628.0,108.0,448.0
24,1116_HS_008,19,10,183.47561197598154,180.0,166.0,801.0,968,1759.1185840707965,857.0,3579.0,108.0,425.0
25,1116_HS_006,11,11,187.18633161272322,183.0,169.0,939.0,1532,2883.388978930308,1516.0,4476.0,108.0,467.0
26,1116_HS_001,5,10,184.9260564456947,181.0,167.0,720.0,1135,2088.7072243346006,1075.0,3035.0,105.0,506.0
27,1116_HS_024,6,6,185.85825247867234,181.0,167.0,1188.0,1262,2345.011815252417,1155.0,4116.0,108.0,510.0
28,1116_HS_023,1,10,186.73896947812193,181.0,167.0,1281.944500000216,1580,2977.82498526812,1468.0,4497.0,108.0,478.0
29,1116_HS_018,9,9,183.97278548686705,180.0,166.0,834.0,1500,2821.5056011949214,1455.0,4369.0,108.0,468.0
30,1116_HS_016,10,10,185.9361230659858,181.0,167.0,1343.8890000004321,1116,1931.5537334204053,1045.5,3139.0,110.0,395.0
31,1116_HS_011,11,11,186.10501725706337,181.0,167.0,1259.0,1062,1941.6312684365782,996.0,3444.0,106.0,463.0
32,1116_HS_007,4,10,185.58302501223093,180.0,167.0,1333.944500000216,1122,2062.226102292769,997.0,4058.0,109.0,411.0
33,1116_HS_009,12,12,184.70227671882645,180.0,166.0,1254.0,1022,1787.447371621979,947.0,3068.5,108.0,435.0
