,blind_key,base_name,max_slice,max_slice_final,gfp_mean,gfp_median,gfp_loQ,gfp_hiQ,otsu_threshold,mean_blob,min_blob,max_blob,bf_loQ,bf_hiQ,worm_num,moved,remove_slices
0,image137,1218_nHS_009,14,14,183.01246574386926,180.0,159.0,453.94450000021607,1187,2204.9433497536947,1091.0,3530.0,107.0,453.0,1,0,-1
1,image094,1218_nHS_007,13,13,183.08864287434258,181.0,159.0,608.9445000002161,834,1491.9041570438799,758.0,2646.0,108.0,457.0,1,0,-1
2,image006,1218_nHS_016,0,10,189.57984401755138,181.0,159.0,744.9445000002161,1231,2277.9946984758117,1207.0,3382.0,107.0,480.0,1,0,-1
3,image015,1218_nHS_011,6,6,185.14707489909492,181.0,160.0,513.0,1218,2255.461059190031,1164.0,3126.0,104.0,501.0,1,0,-1
4,image185,1218_nHS_018,11,11,183.5239174202697,180.0,160.0,367.0,949,1718.333904109589,822.0,2976.0,108.0,499.0,1,0,-1
5,image057,1218_nHS_006,13,13,190.03532012521404,184.0,161.0,1247.8890000004321,901,1693.0445848078466,857.0,2403.0,106.0,519.0,1,0,-1
6,image189,1218_nHS_001,5,10,183.7620498448202,181.0,160.0,786.0,1163,2166.178103315343,1052.0,3531.0,107.0,477.0,1,0,-1
7,image010,1218_nHS_008,6,6,190.3241540121239,188.0,165.0,420.0,937,1687.9571183533449,837.0,3169.0,108.0,531.0,1,0,-1
8,image167,1218_nHS_019,9,9,184.27234866147873,181.0,160.0,564.0,955,1730.7898089171974,949.0,2873.0,107.0,542.0,1,0,-1
9,image003,1218_nHS_010,0,10,187.23925996246638,183.0,161.0,508.0,1311,2440.7817531305905,1295.0,3610.0,103.0,493.3888999996707,1,0,-1
10,image009,1218_nHS_017,0,10,185.18219913848458,181.0,160.0,604.0,1061,1941.1113744075828,1006.0,2872.0,108.0,457.0,1,0,-1
11,image184,1218_nHS_021,6,6,189.95577710295376,185.0,161.0,1052.944500000216,1040,1826.972577009767,990.0,2919.5,106.0,549.0,1,0,-1
12,image106,1218_nHS_014,11,11,182.8729563375275,180.0,159.0,463.94450000021607,958,1740.1656976744187,911.0,3006.0,107.0,495.0,1,0,-1
