,label,area,intensity_mean,intensity_max,intensity_min,base_name
0,1,1218.0,2204.9433497536947,3530.0,1091.0,1218_nHS_009
0,1,1732.0,1491.9041570438799,2646.0,758.0,1218_nHS_007
0,1,1509.0,2277.9946984758117,3382.0,1207.0,1218_nHS_016
0,1,1605.0,2255.461059190031,3126.0,1164.0,1218_nHS_011
0,1,1168.0,1718.333904109589,2976.0,822.0,1218_nHS_018
0,1,1551.0,1468.4029658284978,2162.0,831.0,1218_nHS_006
1,3,1109.0,1917.6862037871956,2644.0,883.0,1218_nHS_006
0,2,1297.0,2166.178103315343,3531.0,1052.0,1218_nHS_001
0,1,1166.0,1687.9571183533449,3169.0,837.0,1218_nHS_008
0,1,1099.0,1730.7898089171974,2873.0,949.0,1218_nHS_019
0,1,1118.0,2440.7817531305905,3610.0,1295.0,1218_nHS_010
0,1,1266.0,1941.1113744075828,2872.0,1006.0,1218_nHS_017
0,1,776.0,1567.0,2474.0,993.0,1218_nHS_021
1,2,1331.0,2086.945154019534,3365.0,987.0,1218_nHS_021
0,1,1376.0,1740.1656976744187,3006.0,911.0,1218_nHS_014
0,1,1285.0,1336.1634241245135,2309.0,692.0,1218_nHS_013
1,2,827.0,1235.1160822249094,1873.0,689.0,1218_nHS_013
0,2,1292.0,1670.3645510835913,2889.0,881.0,1218_nHS_002
0,1,1533.0,1489.679712981083,2767.0,741.0,1218_nHS_005
0,1,1853.0,1306.0167296276309,2465.0,693.0,1218_nHS_012
0,1,915.0,2039.0196721311474,2952.0,1021.0,1218_nHS_015
0,1,1516.0,1962.910290237467,2910.0,962.0,1218_nHS_020
0,1,1413.0,1499.2788393489031,2706.0,757.0,1218_nHS_004
0,1,2176.0,920.3331801470588,1544.0,491.0,1218_nHS_003
0,1,1033.0,2258.511132623427,4142.0,1192.0,1116_nHS_007
0,1,1116.0,2261.673835125448,4029.0,1158.0,1116_nHS_009
0,1,1885.0,2042.2350132625995,3714.0,1004.0,1116_nHS_008
1,2,1235.0,1823.136032388664,3454.0,987.0,1116_nHS_008
0,1,1451.0,1298.7450034458993,1842.0,784.0,1116_nHS_001
1,2,981.0,1892.1702344546381,2820.0,857.0,1116_nHS_001
0,1,1575.0,1831.5339682539682,3578.0,941.0,1116_nHS_006
0,1,1040.0,1103.1221153846154,1675.0,600.0,1116_nHS_010
0,1,1210.0,2127.9661157024793,3650.0,1026.0,1116_nHS_005
0,1,1214.0,2024.0700164744646,3329.0,1094.0,1116_nHS_002
0,1,949.0,2338.8292939936778,3862.0,1091.0,1116_nHS_003
1,2,501.0,1344.4870259481038,1755.0,1012.0,1116_nHS_003
0,1,1200.0,3007.825,4746.0,1488.0,1116_nHS_004
0,5,1185.0,1925.776371308017,3390.0,870.0,1219_nHS_004
0,1,1280.0,1565.440625,2322.0,821.0,1219_nHS_003
0,1,1366.0,1998.1625183016106,2834.0,1006.0,1219_nHS_012
0,1,1168.0,1726.195205479452,2753.0,908.0,1219_nHS_002
0,1,1361.0,2119.163115356356,2975.0,1084.0,1219_nHS_005
0,1,1313.0,2568.717440974867,4203.0,1361.0,1219_nHS_014
0,1,1281.0,2430.4246682279468,3437.0,1244.0,1219_nHS_013
0,1,1138.0,2075.6810193321617,3228.0,1034.0,1219_nHS_010
0,2,1138.0,1045.7152899824252,1429.0,629.0,1219_nHS_006
1,3,1343.0,1370.0282948622487,2180.0,652.0,1219_nHS_006
0,1,1474.0,1372.400949796472,1926.0,702.0,1219_nHS_001
0,1,1219.0,1975.9811320754718,3313.0,956.0,1219_nHS_008
0,1,1362.0,3088.0712187958884,4562.0,1621.0,1219_nHS_011
0,1,975.0,2633.3815384615386,4849.0,1406.0,1219_nHS_009
0,1,1526.0,2084.9043250327654,3082.0,1120.0,1219_nHS_007
0,1,1915.0,1630.6026109660575,2880.0,848.0,1242_HS_021
0,1,2222.0,1374.8249324932494,2473.0,686.0,1242_HS_013
0,1,1894.0,1284.7729672650476,2187.0,662.0,1242_HS_014
0,1,2008.0,1889.98406374502,3581.0,951.0,1242_HS_005
0,1,1988.0,1796.4587525150905,3615.0,899.0,1242_HS_002
0,1,1158.0,2285.2279792746112,3597.0,1225.0,1242_HS_015
0,1,1592.0,1398.5904522613066,2387.0,693.0,1242_HS_012
0,1,1201.0,1789.1915070774355,3177.0,954.0,1242_HS_020
0,1,1349.0,2078.4336545589326,2997.0,1075.0,1242_HS_003
0,1,1228.0,1835.2043973941368,3442.0,937.0,1242_HS_004
0,1,2120.0,1205.920754716981,2266.0,590.0,1242_HS_007
0,1,2472.0,1147.0679611650485,1942.0,624.0,1242_HS_009
0,1,3080.0,1002.7032467532467,1977.0,533.0,1242_HS_018
0,1,1474.0,1570.3622795115332,2796.0,841.0,1242_HS_011
0,1,1453.0,1974.920165175499,3158.0,857.0,1242_HS_016
1,2,1107.0,1642.5392953929538,2477.0,903.0,1242_HS_016
0,1,1092.0,2314.730769230769,3874.0,1241.0,1242_HS_023
