,base_name,max_slice,max_slice_final,gfp_mean,gfp_median,gfp_loQ,gfp_hiQ,otsu_threshold,mean_blob,min_blob,max_blob,bf_loQ,bf_hiQ
0,1116_HS_013,9,9,192.43663943874296,187.0,173.0,924.0,726,1261.2417371252882,630.0,1993.0,107.0,498.0
1,1116_HS_014,15,15,191.39847739183014,186.0,172.0,879.8485000003129,1253,2317.725413060582,1165.0,3273.0,106.0,414.0
2,1116_HS_021,10,10,189.3568940955892,185.0,171.0,1420.6970000006258,1204,2223.0889792231255,1135.0,3609.0,108.0,414.0
3,1116_HS_005,12,12,188.23580716919176,185.0,171.0,1017.0,876,1566.9447282861124,836.0,2967.0,108.0,402.0
4,1116_HS_002,12,12,190.0230598398448,186.0,172.0,1018.0,1155,2129.345288753799,1093.0,3468.0,108.0,412.0
5,1116_HS_020,10,10,192.84101557251074,189.0,173.0,1108.0,1254,2324.0340095465394,1128.0,3777.0,109.0,410.9696999997832
6,1116_HS_015,14,14,192.28948215155535,188.0,173.0,1268.848500000313,871,1554.501210653753,784.0,2706.0,106.0,424.0
7,1116_HS_012,10,10,189.01583758146333,185.0,171.0,1157.848500000313,1144,2103.4667705088264,1095.0,4020.0,109.0,409.9696999997832
8,1116_HS_003,12,12,189.03549847991133,185.0,171.0,1176.0,916,1649.2740711146623,836.0,3030.0,107.0,402.0
9,1116_HS_004,9,9,189.98401387395862,185.0,172.0,1458.6970000006258,1249,2312.1354616048316,1179.0,4384.0,109.0,414.9696999997832
10,1116_HS_007,6,6,193.07288604793737,186.0,172.0,826.0,1000,1815.2204081632653,952.0,2596.0,104.0,522.0
11,1116_HS_009,10,10,189.0421727505207,185.0,172.0,995.6970000006258,1284,2383.428769979152,1227.0,3783.0,111.03030000000001,413.9696999997832
12,1116_HS_018,9,9,189.06333169216944,185.0,171.0,1099.0,940,1694.457627118644,886.0,3047.0,108.0,451.0
13,1116_HS_011,14,14,190.06605850871742,186.0,172.0,900.0,971,1757.9947735191638,840.0,3008.0,107.0,439.0
14,1116_HS_016,7,7,188.95292973998926,186.0,170.0,967.0,1087,1992.2462427745666,979.0,3262.0,110.0,442.0
15,1116_HS_008,14,14,189.18433069907283,185.0,172.0,1102.848500000313,856,1525.979293544458,776.0,2701.0,107.0,416.0
16,1116_HS_001,13,13,188.24768942320614,185.0,172.0,555.8485000003129,1172,2163.157894736842,1134.0,3488.0,109.0,392.0
