,blind_key,base_name,max_slice,max_slice_final,gfp_mean,gfp_median,gfp_loQ,gfp_hiQ,otsu_threshold,mean_blob,min_blob,max_blob,bf_loQ,bf_hiQ,worm_num,moved,remove_slices
131,image000,1116_nHS_025,7,7,187.38352372934023,184.0,163.0,624.0,901,1627.9522613065326,895.0,2697.0,108.0,530.0,1,0,-1
132,image149,1116_nHS_022,11,11,189.42701632205726,186.0,164.0,453.0,1211,2236.9858156028367,1204.0,3772.0,108.0,652.0,1,0,-1
133,image193,1116_nHS_017,7,7,187.4027959448905,185.0,164.0,971.0,995,1625.142681030769,938.0,2834.0,110.0,454.0,1,0,-1
134,image023,1116_nHS_010,10,10,187.17908571074645,185.0,164.0,456.0,762,1341.1283095723015,705.0,2024.0,108.0,474.0,1,0,-1
135,image038,1116_nHS_019,5,10,188.4284542650665,186.0,164.0,516.0,1286,2389.7107843137255,1286.0,3577.0,107.0,446.0,1,0,-1
136,image156,1116_nHS_007,7,7,193.67465325601316,189.0,164.0,999.0,835,1480.0522727272728,772.0,2841.0,106.0,600.0,1,0,-1
137,image154,1116_nHS_009,6,6,187.08370408240393,185.0,164.0,805.8485000003129,744,1304.5746157659892,667.0,2333.0,108.0,783.0,1,0,-1
138,image167,1116_nHS_018,11,11,188.4497672626646,186.0,164.0,691.0,721,1165.7971707644751,674.0,1963.5,106.0,470.0,1,0,-1
139,image008,1116_nHS_011,0,10,189.67903164681874,186.0,165.0,542.0,722,1259.1114551083592,685.0,1880.0,112.0,394.9696999997832,1,0,-1
140,image028,1116_nHS_016,10,10,187.85409720589223,185.0,164.0,654.0,799,1415.491640866873,744.0,2657.0,107.0,499.0,1,0,-1
141,image186,1116_nHS_023,8,8,187.46026406291992,184.0,163.0,804.0,1328,2474.6963021243114,1328.0,4268.0,109.0,462.0,1,0,-1
142,image099,1116_nHS_024,0,10,188.0019119209386,185.0,163.0,661.0,1030,1881.514406779661,935.0,3261.0,107.0,451.0,1,0,-1
143,image100,1241_nHS_020,7,7,185.60989201911448,182.0,161.0,495.0,793,1409.6810758885688,766.0,2403.0,106.0,627.0,1,0,-1
144,image163,1241_nHS_015,5,10,190.8957933540211,187.0,163.0,568.0,938,1688.3960396039604,938.0,2613.0,104.0,550.0,1,0,-1
145,image173,1241_nHS_012,13,13,185.81771139520626,183.0,162.0,459.0,1386,2591.2114803625377,1310.0,3775.0,108.0,417.9696999997832,1,0,-1
146,image134,1241_nHS_003,9,9,184.97047086006785,182.0,162.0,482.8485000003129,749,1318.866498740554,722.0,2122.0,108.0,561.0,1,0,-1
147,image090,1241_nHS_004,12,12,185.3717574765688,183.0,162.0,484.0,1083,1986.4335443037974,1030.0,3166.0,109.0,431.0,1,0,-1
148,image001,1241_nHS_013,12,12,184.96435350040312,182.0,161.0,778.8485000003129,949,1716.9279907084785,853.0,2882.0,108.0,476.0,1,0,-1
149,image159,1241_nHS_014,8,8,183.88053525388,182.0,161.0,717.0,969,1817.1801587301588,958.0,3070.0,107.0,422.0,1,0,-1
150,image069,1241_nHS_005,12,12,183.6534906401169,181.0,161.0,407.0,881,1582.704014939309,865.0,2300.0,110.0,383.0,1,0,-1
151,image131,1241_nHS_002,6,6,187.33975556805967,184.0,163.0,460.0,791,1399.0471854304635,760.0,2063.0,108.0,562.9696999997832,1,0,-1
152,image181,1241_nHS_001,6,6,185.3141975023515,183.0,162.0,606.0,644,1105.844248761695,592.0,1971.0,108.0,506.0,1,0,-1
153,image182,1241_nHS_006,14,14,185.5500708079985,183.0,161.0,788.3940000012517,1089,1996.5448642266824,993.0,2981.0,107.0,444.0,1,0,-1
154,image031,1241_nHS_008,9,9,188.18319115745095,183.0,162.0,672.0,845,1509.288029925187,778.0,2444.0,104.0,558.0,1,0,-1
155,image093,1241_nHS_019,6,6,186.68646858623353,182.0,161.0,557.8485000003129,1058,1934.3189533239038,1021.0,2994.0,109.0,493.0,1,0,-1
156,image016,1241_nHS_017,10,10,186.14607968288095,183.0,161.0,551.0,1236,2293.9963603275705,1153.0,3505.0,107.0,508.9696999997832,1,0,-1
157,image054,1241_nHS_010,10,10,188.38084782736496,185.0,164.0,747.0,1327,2476.8800315706394,1192.0,4160.0,108.0,465.0,1,0,-1
158,image177,1241_nHS_009,16,10,185.95741074727897,184.0,163.0,460.0,816,1449.9661256175018,772.0,2169.0,109.0,444.0,1,0,-1
159,image164,1241_nHS_007,6,6,189.71116976493215,185.0,163.0,1115.848500000313,1445,3060.031523642732,1445.0,4854.0,106.0,574.9696999997832,1,0,-1
160,image014,1241_nHS_011,12,12,184.8752490614922,183.0,161.0,671.8485000003129,864,1549.0383480825958,799.0,2529.0,107.0,447.0,1,0,-1
161,image030,1241_nHS_016,13,13,185.62241385464256,182.0,161.0,910.8485000003129,935,1688.4554242749732,882.0,2793.0,108.0,478.0,1,0,-1
162,image062,1241_nHS_018,12,12,184.36763497085798,182.0,161.0,450.0,750,1321.088128186453,715.0,2063.0,109.0,479.0,1,0,-1
163,image142,1219_nHS_012,0,10,185.92304498538698,183.0,163.0,936.6970000006258,1052,2107.0538694992415,1053.0,3322.0,112.0,373.0,1,0,-1
164,image081,1219_nHS_003,6,6,188.77455788304556,185.0,163.0,1059.6970000006258,1001,1776.9099624680034,951.5,2655.5,108.0,507.9696999997832,1,0,-1
165,image071,1219_nHS_004,17,10,184.70073726400832,183.0,162.0,444.0,1275,2375.7486486486487,1275.0,4116.0,111.0,411.9696999997832,1,0,-1
166,image109,1219_nHS_005,8,8,187.25505707681066,183.0,163.0,1659.0,1339,2210.477660280922,1286.0,3507.6666666666665,115.0,347.0,1,0,-1
167,image155,1219_nHS_002,11,11,187.20442358404998,184.0,163.0,852.0,1510,2843.9081712062257,1510.0,4422.0,110.0,386.0,1,0,-1
168,image013,1219_nHS_008,13,13,187.28867696645727,184.0,163.0,870.8485000003129,1077,1973.7452229299363,1018.0,3503.0,106.0,455.0,1,0,-1
169,image127,1219_nHS_001,9,9,185.47735771214056,184.0,163.0,741.0,837,1494.5860124083474,778.0,2489.0,112.0,430.0,1,0,-1
170,image132,1219_nHS_006,12,12,185.7410159399355,183.0,163.0,624.0,797,1411.8732311320755,738.0,2523.0,109.0,408.0,1,0,-1
171,image079,1219_nHS_010,11,11,185.73591739661717,183.0,163.0,567.0,829,1480.8018555334659,771.0,2605.0,109.0,424.0,1,0,-1
172,image105,1219_nHS_007,9,9,185.77350521113277,183.0,162.0,385.8485000003129,983,1786.6798623063682,945.0,2724.0,110.0,400.0,1,0,-1
173,image077,1219_nHS_009,11,11,187.68027642938725,185.0,164.0,742.8485000003129,923,1945.288753799392,920.0,3534.0,108.0,418.0,1,0,-1
174,image018,1219_nHS_011,7,7,186.2893047378897,183.0,163.0,781.8485000003129,1590,3001.3073736536867,1480.0,4777.0,111.0,456.0,1,0,-1
175,image162,1218_nHS_018,8,8,189.50178647163062,186.0,165.0,666.0,710,1215.5985442096762,669.0,1781.5,107.0,452.0,1,0,-1
176,image172,1218_nHS_016,6,6,190.10108773473192,187.0,165.0,594.5455000009388,755,1324.9416666666666,683.0,2152.0,107.0,558.0,1,0,-1
177,image072,1218_nHS_011,14,14,189.06232521079684,186.0,165.0,462.0,884,1581.3856317093312,789.0,2472.0,108.0,425.0,1,0,-1
178,image113,1218_nHS_007,7,7,190.88461314372816,188.0,166.0,443.8485000003129,982,1780.3516100957354,899.0,2592.0,108.0,555.0,1,0,-1
179,image123,1218_nHS_009,12,12,189.91050504106758,187.0,166.0,551.8485000003129,826,1465.3810143042913,777.0,2411.0,107.0,457.0,1,0,-1
180,image187,1218_nHS_010,19,10,189.3244827709285,187.0,165.0,481.0,732,1280.739247311828,716.0,1924.0,107.0,492.0,1,0,-1
181,image175,1218_nHS_017,4,10,194.15567917940405,187.0,165.0,764.8485000003129,271,348.83820748383295,224.0,495.5,107.0,473.0,1,0,-1
182,image082,1218_nHS_019,7,7,192.54203470379267,189.0,166.0,752.6970000006258,956,1723.3843913803146,898.0,2980.0,106.0,539.0,1,0,-1
183,image128,1218_nHS_008,4,10,189.27099228827936,186.0,165.0,666.0,765,1345.150337837838,748.0,2134.0,109.0,443.0,1,0,-1
184,image157,1218_nHS_006,6,6,193.7507038808452,190.0,166.0,525.8485000003129,803,1420.900455432661,713.0,2309.0,107.0,566.0,1,0,-1
185,image189,1218_nHS_001,8,8,191.92046618852459,189.0,167.0,535.8485000003129,813,1442.6112872542803,740.0,2552.0,108.0,516.0,1,0,-1
186,image047,1218_nHS_002,0,10,192.20784535827062,189.0,166.0,475.8485000003129,965,1745.4767184035477,926.0,2858.0,110.0,464.0,1,0,-1
187,image135,1218_nHS_005,9,9,189.8091349141696,187.0,165.0,1103.848500000313,1109,2035.5186743819042,1047.0,3563.0,110.0,420.0,1,0,-1
188,image136,1218_nHS_021,10,10,189.31050357136857,186.0,164.0,928.8485000003129,844,1490.5108037949408,773.0,2392.0,106.0,491.0,1,0,-1
189,image166,1218_nHS_014,7,7,189.64042344127924,187.0,165.0,519.8485000003129,776,1366.5762175838076,717.0,2314.0,108.0,480.9696999997832,1,0,-1
190,image122,1218_nHS_013,0,10,187.80975822401572,185.0,164.0,783.8485000003129,824,1468.205642973413,728.0,2674.0,107.0,423.0,1,0,-1
191,image070,1218_nHS_004,10,10,195.53384349385246,191.0,167.0,1528.848500000313,913,1636.3575437502805,872.0,2633.5,107.0,476.0,1,0,-1
192,image059,1218_nHS_003,9,9,189.60689567026674,187.0,165.0,506.0,847,1511.1194690265486,825.0,2326.0,109.0,481.0,1,0,-1
193,image161,1218_nHS_012,0,10,189.4953379047971,187.0,165.0,599.0,751,1317.7048794826574,669.0,1929.0,106.0,428.0,1,0,-1
194,image042,1218_nHS_015,1,10,194.40690401605752,188.0,165.0,578.0,239,258.64789949308795,193.5,340.0,108.0,516.0,1,0,-1
195,image146,1218_nHS_020,6,6,190.8879427993147,187.0,165.0,551.0,1045,1905.3131955484896,966.0,2855.0,109.0,499.9696999997832,1,0,-1
