,blind_key,base_name,max_slice,max_slice_final,gfp_mean,gfp_median,gfp_loQ,gfp_hiQ,otsu_threshold,mean_blob,min_blob,max_blob,bf_loQ,bf_hiQ,worm_num,moved,remove_slices
0,image080,1182_nHS_003,6,6,185.11229943857498,182.0,161.0,538.8485000003129,620,1045.6870343296514,579.5,1594.5,94.0,246.0,1,0,-1
1,image003,1182_nHS_004,11,11,185.55651543813826,182.0,161.0,561.0,661,1142.051948051948,631.0,1902.0,94.0,240.0,1,0,-1
2,image204,1182_nHS_015,9,9,182.90300012807376,181.0,160.0,634.0,625,1075.0898540889411,582.5,1589.0,93.03030000000001,216.0,1,0,-1
3,image197,1182_nHS_012,11,11,182.48191272927303,180.0,160.0,666.8485000003129,656,1116.3048706075817,624.5,1675.0,95.0,209.0,1,0,-1
4,image073,1182_nHS_020,6,6,190.52770382625638,187.0,163.0,578.8485000003129,667,1147.8628343767787,638.0,1707.0,93.0,283.0,1,0,-1
5,image084,1182_nHS_005,13,13,184.0824984043268,182.0,161.0,579.0,658,1134.8842165898618,611.0,1881.0,93.0,218.0,1,0,-1
6,image193,1182_nHS_002,6,6,182.23993623605887,180.0,160.0,401.0,624,1069.3282498184458,600.0,1582.0,95.0,232.0,1,0,-1
7,image108,1182_nHS_021,9,9,184.29532289287155,181.0,161.0,603.8485000003129,709,1238.6501141552512,646.0,1885.0,94.0,229.0,1,0,-1
8,image019,1182_nHS_013,9,9,184.09828402143242,181.0,161.0,519.0,636,1081.7404626762986,597.0,1626.0,94.0,213.0,1,0,-1
9,image178,1182_nHS_014,9,9,183.24087264428246,181.0,161.0,396.0,697,1215.9592,618.0,1935.0,94.0,211.0,1,0,-1
10,image006,1182_nHS_019,5,10,186.07034346865763,183.0,162.0,679.0,591,1002.0753987433543,558.0,1804.0,94.0,221.0,1,0,-1
11,image058,1182_nHS_017,6,6,187.7706492710293,183.0,161.0,641.0,604,1014.2215488833267,565.0,1525.5,93.0,244.0,1,0,-1
12,image039,1182_nHS_010,12,12,183.45071180672198,181.0,161.0,599.8485000003129,642,1104.8869565217392,620.0,1690.0,94.0,215.0,1,0,-1
13,image158,1182_nHS_001,13,13,183.84678125419913,182.0,161.0,491.8485000003129,695,1211.6178179470626,671.0,1780.0,90.0,211.0,1,0,-1
14,image066,1182_nHS_006,6,6,183.8637439427405,181.0,161.0,618.8485000003129,588,999.5059128001672,564.0,1539.5,94.0,239.0,1,0,-1
15,image192,1182_nHS_008,6,6,184.39976311601384,182.0,161.0,584.8485000003129,530,866.0685246973528,484.0,1333.5,94.0,232.0,1,0,-1
16,image147,1182_nHS_011,8,8,184.77475681730382,182.0,161.0,588.8485000003129,569,958.9808884297521,532.0,1482.0,94.0,232.0,1,0,-1
17,image188,1182_nHS_016,9,9,186.0423055483237,184.0,162.0,740.0,626,1069.8417166589754,570.0,1739.0,94.0,235.0,1,0,-1
18,image094,1182_nHS_018,9,9,182.13881202129804,180.0,160.0,648.0,562,946.5127191122419,537.0,1441.5,94.0,210.0,1,0,-1
19,image076,1182_nHS_009,9,9,181.5013450370364,180.0,160.0,634.0,501,823.8450998231874,450.0,1239.0,95.0,205.0,1,0,-1
