,base_name,max_slice,max_slice_final,gfp_mean,gfp_median,gfp_loQ,gfp_hiQ,otsu_threshold,mean_blob,min_blob,max_blob,bf_loQ,bf_hiQ
0,1116_HS_014,15,15,193.59602199719498,187.0,171.0,1154.848500000313,979,1766.9899299474605,879.0,2955.0,93.0,227.0
1,1116_HS_013,10,10,190.70618512328676,186.0,169.0,1041.0,752,1315.832129963899,679.0,2437.0,92.0,241.0
2,1116_HS_002,9,9,187.57782791084387,184.0,169.0,843.6970000006258,711,1238.7881295831962,668.0,1889.0,94.0,219.0
3,1116_HS_005,13,13,190.57508324795083,186.0,170.0,890.0,726,1264.5825242718447,635.0,2096.0,92.0,230.0
4,1116_HS_020,8,8,188.47321578540715,183.0,169.0,675.8485000003129,618,1064.6235849056604,545.0,1736.0,94.0,216.0
5,1116_HS_012,12,12,188.5469980872917,184.0,169.0,991.0,872,1566.2557269752222,729.0,2417.0,94.0,216.0
6,1116_HS_015,11,11,191.97079471874162,189.0,173.0,521.0,748,1306.2457813646367,652.0,2135.0,93.0,246.0
7,1116_HS_004,11,11,187.25804528982465,183.0,169.0,856.0,787,1389.521507974867,662.0,2438.0,93.0,219.0
8,1116_HS_003,11,11,187.40833093632423,184.0,170.0,595.0,713,1241.422207876049,659.0,2086.0,94.0,224.0
9,1116_HS_009,15,15,189.32360987469767,185.0,170.0,533.0,791,1397.4766949152543,762.0,2079.0,93.0,262.0
10,1116_HS_007,10,10,187.8657823627721,185.0,169.0,626.0,643,1092.4617901654515,613.5,1648.0,94.0,212.0
11,1116_HS_016,10,10,189.465885136724,184.0,169.0,1211.848500000313,882,1579.2088584803746,843.0,2631.0,94.0,227.0
12,1116_HS_011,15,15,191.20716850938928,187.0,171.0,974.0,780,1372.8967437874892,690.0,2392.0,93.0,216.0
13,1116_HS_018,10,10,191.9326974960528,187.0,169.0,1151.0,896,1602.9371308016878,837.0,2465.0,93.0,232.0
14,1116_HS_006,11,11,193.8393734463182,188.0,171.0,972.0,717,1244.0205696202531,658.0,2248.0,92.0,258.0
15,1116_HS_001,8,8,189.79368391603398,186.0,171.0,688.0,517,849.700469517832,480.0,1298.0,91.0,249.0
16,1116_HS_008,13,13,188.93311924717818,184.0,169.0,763.0,610,1033.9735755573906,542.0,1669.0,93.0,228.0
17,1116_HS_019,11,11,188.17990375571082,183.0,169.0,974.8485000003129,842,1499.0929203539822,770.0,2609.0,94.0,223.0
18,1116_HS_010,11,11,186.66403546803613,183.0,169.0,720.8485000003129,796,1411.1287128712872,754.0,2436.0,93.0,216.0
19,1116_HS_017,9,9,191.50533946897676,187.0,171.0,622.0,745,1299.1098412698414,695.0,2190.0,94.0,237.0
20,1116_nHS_004,14,14,188.06591836241938,185.0,169.0,667.0,715,1247.1089430894308,690.0,1830.0,93.0,227.0
21,1116_nHS_003,11,11,185.73058002721044,182.0,168.0,932.8485000003129,645,1108.1799065420562,595.0,1684.0,94.0,225.0
22,1116_nHS_020,10,10,185.71163245767266,183.0,170.0,440.0,786,1394.8768171384852,738.0,2252.0,94.0,214.0
23,1116_nHS_012,14,14,184.30066734832707,182.0,168.0,473.0,690,1198.9729032258065,600.0,1824.0,94.0,212.0
24,1116_nHS_015,5,10,188.83168639562618,185.0,170.0,475.0,710,1238.4048257372654,653.0,2033.0,94.0,221.0
25,1116_nHS_002,14,14,186.08202442639748,184.0,170.0,577.5455000009388,631,1079.7356006582556,592.0,1648.0,93.0,216.0
26,1116_nHS_005,10,10,184.987107065473,183.0,169.0,603.0,598,1013.2417754569191,557.0,1615.0,94.0,210.0
27,1116_nHS_014,8,8,185.9770965781208,183.0,169.0,473.0,550,916.7619318181818,521.0,1531.0,94.0,213.0
28,1116_nHS_013,9,9,186.4873191220438,183.0,169.0,714.0,632,1081.107177033493,600.0,1830.0,94.0,224.0
29,1116_nHS_010,10,10,185.53032303984145,183.0,169.0,514.0,598,1013.0342857142857,580.0,1529.0,94.0,226.0
30,1116_nHS_017,13,13,185.6910548344699,184.0,170.0,523.8485000003129,619,1054.593984962406,563.0,1580.0,94.0,207.0
31,1116_nHS_019,10,10,185.38416514797768,183.0,169.0,462.0,539,895.2266355140187,496.0,1604.0,94.0,228.0
32,1116_nHS_008,14,14,187.2720121544108,184.0,169.0,453.0,708,1231.8023255813953,666.0,1797.0,93.0,216.0
33,1116_nHS_006,12,12,184.28400279872682,182.0,168.0,745.6970000006258,704,1222.1809241765382,672.0,1790.5,94.0,207.0
34,1116_nHS_001,11,11,186.79697315489787,184.0,171.0,744.0,584,985.5010921799912,532.0,1540.0,94.0,242.0
35,1116_nHS_018,12,12,186.5228863628729,184.0,170.0,571.8485000003129,582,980.7177161152615,535.0,1924.0,94.0,223.0
36,1116_nHS_016,11,11,186.19908201550322,184.0,170.0,572.8485000003129,679,1175.6632124352332,619.0,2010.0,94.0,215.0
37,1116_nHS_011,15,15,183.3484651093456,181.0,168.0,519.8485000003129,680,1180.1531042796867,636.0,1875.0,94.0,210.0
38,1116_nHS_007,12,12,185.02964907786884,183.0,168.0,395.0,781,1388.4215962441315,724.0,2287.0,94.0,208.0
39,1116_nHS_009,12,12,186.0692057641595,183.0,169.0,434.0,747,1312.7492354740061,730.0,2392.0,94.0,214.9696999997832
