,label,area,intensity_mean,intensity_max,intensity_min,base_name
0,1,972.0,1148.517489711934,1856.0,567.0,1182_nHS_003
1,2,760.0,942.8565789473685,1333.0,592.0,1182_nHS_003
0,1,1771.0,1142.051948051948,1902.0,631.0,1182_nHS_004
0,1,1047.0,1034.2655205348615,1519.0,556.0,1182_nHS_015
1,2,874.0,1115.9141876430206,1659.0,609.0,1182_nHS_015
0,1,872.0,936.8474770642201,1278.0,602.0,1182_nHS_012
1,2,1060.0,1295.7622641509433,2072.0,647.0,1182_nHS_012
0,1,1757.0,1147.8628343767787,1707.0,638.0,1182_nHS_020
0,2,1736.0,1134.8842165898618,1881.0,611.0,1182_nHS_005
0,1,1377.0,1069.3282498184458,1582.0,600.0,1182_nHS_002
0,1,1752.0,1238.6501141552512,1885.0,646.0,1182_nHS_021
0,1,969.0,1148.8864809081526,1777.0,611.0,1182_nHS_013
1,2,720.0,1014.5944444444444,1475.0,583.0,1182_nHS_013
0,1,1250.0,1215.9592,1935.0,618.0,1182_nHS_014
0,1,2069.0,1002.0753987433543,1804.0,558.0,1182_nHS_019
0,3,899.0,893.4927697441602,1318.0,546.0,1182_nHS_017
1,4,1067.0,1134.950328022493,1733.0,584.0,1182_nHS_017
0,1,1840.0,1104.8869565217392,1690.0,620.0,1182_nHS_010
0,1,1549.0,1211.6178179470626,1780.0,671.0,1182_nHS_001
0,1,931.0,1030.077336197637,1671.0,540.0,1182_nHS_006
1,2,1038.0,968.9344894026975,1408.0,588.0,1182_nHS_006
0,1,1162.0,972.3046471600688,1560.0,486.0,1182_nHS_008
1,2,895.0,759.8324022346369,1107.0,482.0,1182_nHS_008
0,1,1936.0,958.9808884297521,1482.0,532.0,1182_nHS_011
0,1,2167.0,1069.8417166589754,1739.0,570.0,1182_nHS_016
0,1,1048.0,969.8272900763359,1521.0,526.0,1182_nHS_018
1,2,1080.0,923.1981481481481,1362.0,548.0,1182_nHS_018
0,1,1213.0,804.7609233305853,1162.0,450.0,1182_nHS_009
1,2,1216.0,842.9292763157895,1316.0,450.0,1182_nHS_009
0,1,823.0,992.53219927096,1526.0,569.0,1182_nHS_007
1,2,1078.0,1033.225417439703,1547.0,595.0,1182_nHS_007
0,1,2284.0,1766.9899299474605,2955.0,879.0,1116_HS_014
0,1,2770.0,1315.832129963899,2437.0,679.0,1116_HS_013
0,1,1138.0,1205.029876977153,1950.0,656.0,1116_HS_002
1,3,1078.0,1272.5463821892392,1828.0,680.0,1116_HS_002
0,1,2369.0,1264.5825242718447,2096.0,635.0,1116_HS_005
0,2,2120.0,1064.6235849056604,1736.0,545.0,1116_HS_020
0,1,2139.0,1566.2557269752222,2417.0,729.0,1116_HS_012
0,1,1363.0,1306.2457813646367,2135.0,652.0,1116_HS_015
0,1,2069.0,1389.521507974867,2438.0,662.0,1116_HS_004
0,1,1549.0,1241.422207876049,2086.0,659.0,1116_HS_003
0,1,1416.0,1397.4766949152543,2079.0,762.0,1116_HS_009
0,1,874.0,959.5972540045767,1386.0,604.0,1116_HS_007
1,2,999.0,1225.3263263263264,1910.0,623.0,1116_HS_007
0,1,2777.0,1579.2088584803746,2631.0,843.0,1116_HS_016
0,1,2334.0,1372.8967437874892,2392.0,690.0,1116_HS_011
0,1,2370.0,1602.9371308016878,2465.0,837.0,1116_HS_018
0,1,2528.0,1244.0205696202531,2248.0,658.0,1116_HS_006
0,3,1209.0,855.7832919768404,1317.0,485.0,1116_HS_001
1,4,1326.0,843.6176470588235,1279.0,475.0,1116_HS_001
0,1,2422.0,1033.9735755573906,1669.0,542.0,1116_HS_008
0,1,2260.0,1499.0929203539822,2609.0,770.0,1116_HS_019
0,1,1717.0,1411.1287128712872,2436.0,754.0,1116_HS_010
0,1,1575.0,1299.1098412698414,2190.0,695.0,1116_HS_017
0,24,1490.0,422.12080536912754,595.0,273.0,1218_HS_002
1,30,2767.0,445.2190097578605,686.0,261.0,1218_HS_002
0,1,1377.0,930.0363108206245,1630.0,453.0,1218_HS_005
1,5,868.0,584.6370967741935,777.0,443.0,1218_HS_005
0,1,2394.0,1193.1754385964912,1910.0,635.0,1218_HS_014
0,1,2003.0,1038.8022965551672,1718.0,560.0,1218_HS_013
0,1,3486.0,932.5556511761331,1683.0,474.0,1218_HS_021
0,1,1910.0,968.5434554973822,1435.0,516.0,1218_HS_004
0,1,2698.0,923.5544848035582,1664.0,463.0,1218_HS_003
0,4,744.0,849.1720430107526,1269.0,522.0,1218_HS_020
1,5,2446.0,1033.970973017171,1746.0,488.0,1218_HS_020
0,1,2938.0,885.8196051735874,1495.0,460.0,1218_HS_012
0,1,1904.0,1066.5341386554621,1649.0,559.0,1218_HS_015
0,1,2113.0,793.0241362991009,1242.0,414.0,1218_HS_024
0,1,2111.0,1096.6281383230696,1835.0,586.0,1218_HS_023
1,3,1796.0,1075.5940979955456,1827.0,579.0,1218_HS_023
0,1,1679.0,990.6759976176295,1584.0,517.0,1218_HS_016
0,195,639.0,187.1455399061033,223.0,165.0,1218_HS_011
1,2152,1080.0,186.7212962962963,216.0,164.0,1218_HS_011
2,34419,1399.0,194.38598999285205,240.0,164.0,1218_HS_011
3,82455,1792.0,186.83147321428572,248.0,160.0,1218_HS_011
4,86563,684.0,186.80847953216374,222.0,164.0,1218_HS_011
5,101534,518.0,187.15637065637065,216.0,159.0,1218_HS_011
6,101977,583.0,186.91080617495712,246.0,163.0,1218_HS_011
7,102525,1252.0,187.20127795527156,229.0,162.0,1218_HS_011
8,102847,504.0,187.0734126984127,218.0,163.0,1218_HS_011
