,blind_key,base_name,max_slice,max_slice_final,gfp_mean,gfp_median,gfp_loQ,gfp_hiQ,otsu_threshold,mean_blob,min_blob,max_blob,bf_loQ,bf_hiQ
85,image045,1116_HS_020,,,160.42875844027142,157.0,140.0,207.0,517,876.2051965356429,450.0,1448.0,,
86,image000,1116_HS_012,,,156.83169951793872,155.0,140.0,195.0,447,739.8373065662903,395.0,1170.0,,
87,image098,1116_HS_015,,,160.0668342998354,157.0,140.0,217.0,656,1154.181431608788,597.0,1748.0,,
88,image034,1116_HS_004,,,163.36281593279696,158.0,141.0,243.0,510,,,,,
89,image065,1116_HS_003,,,156.13732473839357,154.0,140.0,189.0,471,782.1755526657997,433.0,1157.0,,
90,image101,1116_HS_009,,,158.18324627116365,156.0,140.0,232.0,196,225.3706720864994,177.0,285.85714285714283,,
91,image041,1116_HS_007,,,162.87835327574913,160.0,143.0,204.0,515,869.6297142857143,436.0,1325.0,,
92,image083,1116_HS_016,,,161.49881689230045,159.0,140.0,222.0,188,209.81865752043308,168.02777777777777,270.6041666666667,,
93,image100,1116_HS_011,,,167.5392194428581,166.0,146.0,208.0,588,1011.5173410404624,539.0,1520.0,,
94,image046,1116_HS_018,,,158.72676720807578,155.0,140.0,214.0,487,819.4016093635698,464.0,1190.0,,
95,image008,1116_HS_006,,,159.17459000646667,157.0,140.0,199.0,487,,,,,
96,image027,1116_HS_001,,,156.4724035142603,154.0,140.0,215.0,218,266.60759693558725,196.1764705882353,368.29411764705884,,
97,image125,1116_HS_008,,,155.24253104214256,153.0,139.0,192.0,169,173.34721372546642,156.2,202.0,,
98,image105,1116_HS_019,,,160.80159798273314,157.0,140.0,211.0,537,917.4592790387183,504.0,1469.0,,
99,image007,1116_HS_010,,,160.946485634742,158.0,142.0,201.0,495,835.9029605263158,439.0,1469.0,,
100,image015,1116_HS_017,,,154.46354726552002,152.0,138.0,194.0,294,384.2735387194335,258.0,573.25,,
101,image031,1219_HS_019,,,156.0295742806873,153.0,137.0,197.0,425,695.8294797687861,375.0,1109.0,,
102,image087,1219_HS_017,,,150.71862455069203,148.0,134.0,188.0,553,957.8972440944882,502.0,1699.0,,
103,image097,1219_HS_010,,,150.31481241391762,148.0,135.0,181.0,435,722.5749576988155,373.0,1291.0,,
104,image071,1219_HS_001,,,151.5764274976485,150.0,135.0,184.0,413,677.5797468354431,352.0,1076.0,,
105,image040,1219_HS_006,,,150.53070568647541,149.0,135.0,185.0,457,766.8763723150358,411.0,1197.0,,
106,image035,1219_HS_008,,,150.05763030981254,148.0,135.0,180.0,433,720.0893355516585,393.5,1060.0,,
107,image104,1219_HS_011,,,149.62629779671124,148.0,134.0,180.0,417,706.0201082925596,376.5,1098.5,,
108,image054,1219_HS_016,,,153.0127606616165,150.0,135.0,205.0,383,627.4558293470981,345.5,1048.0,,
109,image127,1219_HS_018,,,152.0002742563323,150.0,135.0,194.0,160,163.21915847165246,145.28571428571428,193.9047619047619,,
110,image094,1219_HS_009,,,150.6363030351384,149.0,135.0,182.0,440,732.7514218802276,396.0,1216.0,,
111,image110,1219_HS_007,,,151.99500433561207,150.0,135.0,187.0,431,712.6038110361254,401.0,1179.0,,
112,image077,1219_HS_003,,,150.29066814616365,148.0,135.0,181.0,389,633.2319210719529,338.5,1002.5,,
113,image095,1219_HS_004,,,152.9883909525329,150.0,136.0,194.0,399,649.6067778643419,355.0,1050.5,,
114,image006,1219_HS_015,,,167.72149571267803,165.0,142.0,235.0,483,796.1403209660048,422.0,1336.5,,
115,image115,1219_HS_012,,,151.49076556621205,149.0,135.0,194.0,524,,,,,
116,image063,1219_HS_020,,,150.24983754577062,148.0,135.0,184.0,487,825.2508813160987,442.0,1301.0,,
117,image066,1219_HS_005,,,149.98199120070208,148.0,135.0,181.0,328,495.36769133314533,289.5,737.5,,
118,image039,1219_HS_002,,,151.31193495322157,149.0,136.0,183.0,394,637.5434066561293,334.0,1027.5,,
119,image052,1219_HS_013,,,152.16522303732197,149.0,135.0,194.0,524,,,,,
120,image038,1219_HS_014,,,157.11559156434762,154.0,137.0,198.0,396,632.2703150825969,347.0,970.5,,
121,image009,1116_nHS_011,,,150.8599975225074,149.0,135.0,181.0,421,690.6603758783774,371.0,1005.5,,
122,image081,1116_nHS_009,,,152.61160920493484,150.0,135.0,190.0,495,840.6204492641364,434.0,1289.0,,
123,image086,1116_nHS_007,,,152.6961315947494,150.0,136.0,196.0,386,626.009942004971,356.0,906.0,,
124,image120,1116_nHS_010,,,151.82119983077465,150.0,135.0,185.0,508,866.0982824427481,456.0,1310.0,,
125,image036,1116_nHS_006,,,160.8211819844296,159.0,137.0,212.0,390,622.6505747126437,338.0,981.0,,
126,image056,1116_nHS_001,,,152.07641358799717,150.0,135.0,187.0,333,516.1007025761124,294.0,768.0,,
127,image123,1116_nHS_008,,,150.41368195293603,148.0,134.0,201.0,205,256.50111922033255,184.85714285714286,366.6904761904762,,
128,image082,1116_nHS_002,,,149.65782808930732,148.0,135.0,176.0,412,674.1046875,393.0,1078.0,,
129,image128,1116_nHS_005,,,150.81923699526337,149.0,135.0,183.0,401,654.3227513227513,346.0,998.0,,
130,image047,1116_nHS_014,,,153.05899949190405,152.0,136.0,182.0,367,583.3793111136592,320.0,864.0,,
131,image122,1116_nHS_013,,,152.774286513622,151.0,137.0,183.0,534,920.0,445.0,1475.0,,
132,image070,1116_nHS_004,,,153.9456767753964,152.0,136.0,195.0,418,684.6358253145818,361.0,1002.0,,
133,image059,1116_nHS_003,,,150.9919775429992,149.0,135.0,182.0,348,550.8408951114113,317.5,842.5,,
134,image042,1116_nHS_012,,,151.10222333966004,149.0,135.0,186.0,441,734.0795990566038,402.0,1136.0,,
