,label,area,intensity_mean,intensity_max,intensity_min,base_name
0,1,2710.0,802.3774907749078,1303.0,421.0,1217_HS_009
0,1,2948.0,755.6896200814111,1204.0,399.0,1217_HS_011
0,1,2230.0,846.954260089686,1279.0,426.0,1217_HS_016
0,1,2906.0,776.0092911218169,1237.0,393.0,1217_HS_018
0,1,2771.0,704.0270660411404,1054.0,373.0,1217_HS_001
0,2,1664.0,473.2097355769231,773.0,285.0,1217_HS_008
1,6,1236.0,506.5323624595469,777.0,275.0,1217_HS_008
0,2,2055.0,773.8141119221411,1270.0,402.0,1217_HS_017
0,1,1937.0,641.7620030975736,967.0,358.0,1217_HS_010
0,1,1308.0,651.8960244648318,971.0,387.0,1217_HS_013
1,2,1131.0,755.5853227232537,1184.0,376.0,1217_HS_013
0,1,2799.0,675.057520543051,1030.0,371.0,1217_HS_005
0,1,1458.0,715.5096021947874,1179.0,395.0,1217_HS_002
0,1,1870.0,564.7625668449198,901.0,318.0,1217_HS_015
0,1,2863.0,677.8225637443242,1199.0,373.0,1217_HS_012
0,1,1801.0,687.3148250971683,1098.0,347.0,1217_HS_004
0,6777,311.0,177.04501607717043,240.0,151.0,1218_nHS_010
1,6855,2522.0,180.53885804916732,300.0,143.0,1218_nHS_010
2,6927,233.0,181.30042918454936,243.0,150.0,1218_nHS_010
3,7336,103.0,167.3106796116505,187.0,151.0,1218_nHS_010
4,8008,366.0,178.3087431693989,237.0,150.0,1218_nHS_010
5,8301,191.0,169.04712041884818,202.0,150.0,1218_nHS_010
6,8451,167.0,167.07784431137725,185.0,150.0,1218_nHS_010
7,9054,288.0,167.44097222222223,191.0,151.0,1218_nHS_010
8,9157,107.0,168.7663551401869,199.0,156.0,1218_nHS_010
9,10562,143.0,168.33566433566435,193.0,150.0,1218_nHS_010
10,12252,102.0,168.07843137254903,190.0,155.0,1218_nHS_010
11,12293,109.0,168.0183486238532,210.0,151.0,1218_nHS_010
12,12486,129.0,166.96124031007753,185.0,149.0,1218_nHS_010
13,12995,126.0,167.78571428571428,193.0,152.0,1218_nHS_010
14,13258,110.0,168.06363636363636,194.0,154.0,1218_nHS_010
0,1,1358.0,617.7223858615611,911.0,340.0,1218_nHS_006
0,1,2393.0,517.1984956122022,796.0,294.0,1218_nHS_001
0,1,1512.0,689.6488095238095,1128.0,375.0,1218_nHS_008
0,1,1688.0,486.69668246445497,783.0,276.0,1218_nHS_011
0,1,1317.0,591.4092634776006,891.0,321.0,1218_nHS_009
0,1,1679.0,440.9803454437165,702.0,256.0,1218_nHS_007
0,1,1443.0,531.3264033264034,797.0,294.0,1218_nHS_004
0,15,146.0,154.8013698630137,177.0,138.0,1218_nHS_003
1,24,134.0,153.58955223880596,175.0,140.0,1218_nHS_003
2,188,433.0,153.39953810623555,209.0,138.0,1218_nHS_003
3,426,108.0,153.2962962962963,169.0,138.0,1218_nHS_003
4,436,185.0,153.02162162162162,177.0,134.0,1218_nHS_003
5,995,138.0,153.02898550724638,169.0,138.0,1218_nHS_003
6,1457,428.0,153.36214953271028,176.0,136.0,1218_nHS_003
7,1459,102.0,152.73529411764707,167.0,138.0,1218_nHS_003
8,2142,105.0,153.77142857142857,189.0,138.0,1218_nHS_003
9,2209,175.0,153.22285714285715,174.0,137.0,1218_nHS_003
10,2495,100.0,153.34,171.0,140.0,1218_nHS_003
11,2502,170.0,153.2,172.0,138.0,1218_nHS_003
12,2504,118.0,153.5084745762712,179.0,138.0,1218_nHS_003
13,3295,2607.0,159.11891062523975,201.0,136.0,1218_nHS_003
14,3986,272.0,153.35294117647058,178.0,136.0,1218_nHS_003
15,4068,228.0,152.52631578947367,179.0,134.0,1218_nHS_003
16,4352,165.0,153.07272727272726,178.0,138.0,1218_nHS_003
17,5155,133.0,153.52631578947367,174.0,139.0,1218_nHS_003
18,5346,104.0,153.3653846153846,206.0,140.0,1218_nHS_003
19,5797,231.0,153.3939393939394,188.0,136.0,1218_nHS_003
20,6095,203.0,152.7832512315271,177.0,138.0,1218_nHS_003
21,6660,138.0,152.7536231884058,178.0,136.0,1218_nHS_003
22,6856,102.0,153.11764705882354,175.0,140.0,1218_nHS_003
23,7271,129.0,153.62790697674419,175.0,138.0,1218_nHS_003
24,7754,351.0,153.51566951566952,179.0,137.0,1218_nHS_003
25,8356,162.0,154.57407407407408,188.0,139.0,1218_nHS_003
26,8951,412.0,153.60922330097088,179.0,129.0,1218_nHS_003
27,10029,100.0,153.54,178.0,139.0,1218_nHS_003
28,11823,105.0,153.05714285714285,181.0,137.0,1218_nHS_003
29,12271,330.0,153.22424242424242,182.0,134.0,1218_nHS_003
30,12837,108.0,153.24074074074073,190.0,135.0,1218_nHS_003
31,13554,126.0,153.6904761904762,191.0,140.0,1218_nHS_003
32,15864,1261.0,154.13164155432196,191.0,136.0,1218_nHS_003
33,16353,275.0,153.6690909090909,193.0,135.0,1218_nHS_003
34,16465,647.0,153.5904173106646,195.0,138.0,1218_nHS_003
35,16471,106.0,152.72641509433961,173.0,137.0,1218_nHS_003
36,17343,189.0,154.0899470899471,173.0,138.0,1218_nHS_003
37,17624,158.0,153.58227848101265,201.0,136.0,1218_nHS_003
38,18756,241.0,153.4232365145228,176.0,127.0,1218_nHS_003
39,18901,113.0,153.18584070796462,168.0,137.0,1218_nHS_003
40,19245,564.0,153.65425531914894,190.0,139.0,1218_nHS_003
41,19448,240.0,153.50416666666666,178.0,136.0,1218_nHS_003
42,19506,159.0,153.62893081761007,171.0,131.0,1218_nHS_003
43,19890,118.0,153.23728813559322,178.0,138.0,1218_nHS_003
44,20645,130.0,155.15384615384616,178.0,139.0,1218_nHS_003
45,20782,329.0,154.24620060790272,202.0,140.0,1218_nHS_003
46,21111,135.0,153.2,174.0,140.0,1218_nHS_003
47,21750,174.0,153.38505747126436,175.0,142.0,1218_nHS_003
48,21969,228.0,153.1578947368421,181.0,134.0,1218_nHS_003
49,21973,135.0,153.45925925925926,166.0,140.0,1218_nHS_003
50,22068,138.0,154.04347826086956,186.0,140.0,1218_nHS_003
51,22105,428.0,153.3271028037383,196.0,134.0,1218_nHS_003
52,22223,104.0,153.22115384615384,175.0,134.0,1218_nHS_003
53,22262,842.0,153.70783847980996,187.0,134.0,1218_nHS_003
54,22339,134.0,152.76865671641792,172.0,137.0,1218_nHS_003
55,23337,209.0,153.35885167464116,178.0,138.0,1218_nHS_003
56,24499,206.0,153.24271844660194,191.0,138.0,1218_nHS_003
57,25150,112.0,153.44642857142858,178.0,138.0,1218_nHS_003
58,26609,187.0,153.4331550802139,193.0,129.0,1218_nHS_003
59,27244,175.0,152.84571428571428,185.0,138.0,1218_nHS_003
60,27374,227.0,152.92070484581498,176.0,138.0,1218_nHS_003
61,27561,131.0,152.94656488549617,172.0,141.0,1218_nHS_003
62,28124,141.0,154.11347517730496,187.0,139.0,1218_nHS_003
63,28972,386.0,153.3678756476684,184.0,134.0,1218_nHS_003
64,29233,247.0,153.33198380566802,185.0,137.0,1218_nHS_003
65,30298,122.0,152.7377049180328,167.0,135.0,1218_nHS_003
66,30754,101.0,154.12871287128712,186.0,139.0,1218_nHS_003
67,32506,206.0,153.4757281553398,175.0,138.0,1218_nHS_003
68,34677,170.0,153.37058823529412,183.0,139.0,1218_nHS_003
69,34725,191.0,153.4607329842932,189.0,138.0,1218_nHS_003
70,36047,136.0,153.23529411764707,171.0,136.0,1218_nHS_003
71,36095,154.0,154.0,204.0,138.0,1218_nHS_003
72,36734,236.0,153.14406779661016,186.0,138.0,1218_nHS_003
73,36880,325.0,153.35076923076923,187.0,135.0,1218_nHS_003
74,38122,333.0,153.75675675675674,185.0,138.0,1218_nHS_003
75,38448,111.0,153.59459459459458,170.0,137.0,1218_nHS_003
76,39640,180.0,153.61666666666667,170.0,136.0,1218_nHS_003
77,40690,111.0,153.14414414414415,193.0,138.0,1218_nHS_003
78,40949,114.0,153.16666666666666,177.0,140.0,1218_nHS_003
79,41602,203.0,153.17241379310346,174.0,135.0,1218_nHS_003
80,41605,102.0,154.1078431372549,172.0,134.0,1218_nHS_003
81,42424,149.0,153.248322147651,174.0,138.0,1218_nHS_003
82,44225,102.0,154.66666666666666,183.0,140.0,1218_nHS_003
83,44351,101.0,152.95049504950495,171.0,140.0,1218_nHS_003
