,blind_key,base_name,max_slice,max_slice_final,gfp_mean,gfp_median,gfp_loQ,gfp_hiQ,otsu_threshold,mean_blob,min_blob,max_blob,bf_loQ,bf_hiQ,worm_num,moved,remove_slices
0,image106,1219_nHS_007,6,6,190.26893093161388,183.0,161.0,1113.0,805,2075.315877437326,792.0,3652.0,149.0,461.0,1,0,-1
1,image064,1219_nHS_009,9,9,188.91471274538281,183.0,161.0,2016.0,1415,2638.4610585984756,1377.0,3882.5,150.0,452.0,1,0,-1
2,image140,1219_nHS_018,7,7,189.46631528253425,183.0,161.0,1032.8335000006482,1605,3002.310354463349,1605.5,4360.5,153.0,460.0,1,0,-1
3,image050,1219_nHS_016,11,11,188.86841966961228,183.0,161.0,682.0,1707,3234.8761904761905,1653.0,5395.0,144.0,431.0,1,0,-1
4,image004,1219_nHS_011,5,10,188.81955618960984,182.0,161.0,1002.9445000002161,1159,2092.3150181792507,1102.5,3031.5,137.0,483.0,1,0,-1
5,image177,1219_nHS_008,5,10,190.53554754387844,184.0,162.0,551.0,2063,3951.5990566037735,2063.0,5679.0,127.0,514.0,1,0,-1
6,image251,1219_nHS_006,11,11,185.44446517436705,183.0,161.0,541.0,1307,2439.9832460732982,1249.0,3484.0,157.0,456.0,1,0,-1
7,image059,1219_nHS_001,10,10,189.7135255817331,184.0,162.0,744.9445000002161,1588,3003.487674169346,1581.0,4275.0,141.0,477.0,1,0,-1
8,image096,1219_nHS_010,6,6,191.35988979750184,184.0,162.0,864.9445000002161,1091,1947.209072562955,1045.0,2838.5,148.0,510.0,1,0,-1
9,image258,1219_nHS_017,7,7,189.950633188983,184.0,161.0,894.0,2521,4859.221382289416,2515.0,6788.0,150.0,470.0,1,0,-1
10,image088,1219_nHS_019,5,10,190.47162784942208,184.0,162.0,884.0,1488,2793.1046658259775,1361.0,4802.0,136.0,495.0,1,0,-1
11,image076,1219_nHS_021,8,8,194.49713313929487,188.0,165.0,1594.944500000216,2059,3583.478351027504,2017.5,5105.0,143.0,505.0,1,0,-1
12,image171,1219_nHS_014,12,12,187.93203980208844,183.0,161.0,988.0,1561,2938.2367879203844,1450.0,5010.0,144.0,446.3888999996707,1,0,-1
13,image198,1219_nHS_013,8,8,187.89127309541647,183.0,162.0,594.0,1019,1860.7590361445782,980.0,2795.0,143.0,447.0,1,0,-1
14,image053,1219_nHS_002,7,7,194.6704679664567,186.0,162.0,899.9445000002161,1835,3485.7272727272725,1813.0,5088.0,127.61110000000002,562.0,1,0,-1
15,image065,1219_nHS_005,9,9,186.9911294776633,182.0,161.0,819.0,1424,3061.8356456776946,1385.0,4700.0,150.0,469.0,1,0,-1
16,image157,1219_nHS_012,4,10,186.59439928984222,182.0,161.0,1178.944500000216,1270,2250.094217687075,1251.0,3187.5,149.0,434.0,1,0,-1
17,image161,1219_nHS_015,7,7,189.2864584129617,183.0,161.0,1163.944500000216,1426,2512.102912773107,1403.5,3738.0,147.0,513.0,1,0,-1
18,image223,1219_nHS_020,6,6,190.72121577253546,184.0,162.0,1238.0,2154,4650.315543071161,2092.0,6708.0,141.0,465.0,1,0,-1
19,image166,1219_nHS_004,10,10,189.4158593941108,184.0,162.0,610.0,1549,2922.981406628941,1497.0,4810.0,142.0,462.0,1,0,-1
20,image203,1219_nHS_003,7,7,189.31724187026052,184.0,161.0,645.0,1617,3049.926851851852,1481.0,4985.0,150.0,493.0,1,0,-1
21,image035,1241_HS_023,9,9,185.36828159399462,181.0,160.0,647.0,939,1699.4419398907103,885.0,2811.0,146.0,430.0,1,0,-1
22,image249,1241_HS_018,7,7,187.67727690993456,181.0,159.0,1133.0,1103,2025.4504716981132,1019.0,3036.0,146.0,481.0,1,0,-1
23,image181,1241_HS_011,11,11,191.0692998658421,183.0,162.0,1529.0,1224,2262.480494399382,1103.0,4058.0,149.0,436.0,1,0,-1
24,image107,1241_HS_016,13,13,188.02023142237954,181.0,159.0,783.9445000002161,940,1751.0373770491803,857.0,2669.0,140.0,434.0,1,0,-1
25,image136,1241_HS_007,6,6,197.6488115941475,187.0,164.0,884.0,559,1424.5369354157872,489.0,2645.0,142.0,582.0,1,0,-1
26,image032,1241_HS_009,7,7,189.69785041585126,184.0,162.0,683.0,858,1532.6020689655172,809.0,2356.0,159.0,425.0,1,0,-1
27,image007,1241_HS_017,4,10,185.47438601738318,180.0,159.0,947.0,989,1798.1808401639344,922.0,3446.0,147.0,434.0,1,0,-1
28,image056,1241_HS_010,8,8,190.0923272000367,183.0,162.0,1204.944500000216,827,1475.2359217545938,744.0,2732.0,148.0,439.0,1,0,-1
29,image212,1241_HS_019,8,8,185.68780075640595,180.0,159.0,652.0,961,1740.427345187002,913.0,2539.0,156.0,449.0,1,0,-1
30,image229,1241_HS_022,4,10,188.97435376788772,182.0,160.0,892.0,1182,2181.4691358024693,1065.0,3316.0,144.0,465.0,1,0,-1
31,image018,1241_HS_008,7,7,189.74738301316353,184.0,162.0,761.0,1053,1923.905452436195,1010.0,2906.0,146.0,436.0,1,0,-1
32,image115,1241_HS_001,7,7,188.91121045017428,184.0,162.0,850.0,1061,1943.8674094707521,1007.0,2955.0,156.0,426.0,1,0,-1
33,image169,1241_HS_006,8,8,189.4055512609314,184.0,162.0,861.0,718,1247.7545849645894,655.5,2018.5,161.0,450.0,1,0,-1
34,image200,1241_HS_005,5,10,186.0545960069869,183.0,161.0,557.0,621,1075.1229885057471,594.0,1680.0,149.0,440.0,1,0,-1
35,image250,1241_HS_002,0,10,191.1248788852281,184.0,162.0,688.0,902,1618.0936936936937,804.0,2656.0,144.0,415.0,1,0,-1
36,image259,1241_HS_013,7,7,186.03109305245536,181.0,159.0,685.0,1064,1946.8388746803068,991.0,3609.0,151.0,439.0,1,0,-1
37,image048,1241_HS_014,4,10,185.31251767750123,181.0,160.0,613.0,776,1371.7227658186562,668.0,2114.0,140.0,446.0,1,0,-1
38,image214,1241_HS_021,11,11,186.7434414081611,181.0,160.0,874.0,1035,1886.9183789954338,994.0,2798.0,147.0,430.0,1,0,-1
39,image222,1241_HS_003,8,8,190.4711593956397,183.0,161.0,1509.0,1162,2097.168459877855,1056.5,3487.5,148.0,462.0,1,0,-1
40,image060,1241_HS_004,9,9,189.8421136367111,184.0,163.0,1345.944500000216,890,1594.35347985348,797.0,2848.0,147.0,439.0,1,0,-1
41,image021,1241_HS_020,4,10,184.21541779101943,179.0,158.0,725.0,948,1715.267414403778,832.0,2898.0,148.0,424.0,1,0,-1
42,image112,1241_HS_015,7,7,184.57821768743884,180.0,158.0,821.0,788,1416.4209961917772,730.0,2119.0,152.0,431.0,1,0,-1
43,image264,1241_HS_012,8,8,186.76090845156557,181.0,160.0,806.9445000002161,965,1749.4735645252986,887.0,2760.0,139.0,457.3888999996707,1,0,-1
44,image045,1182_HS_025,7,7,192.72492852556263,184.0,162.0,1904.944500000216,1290,2394.5517042172155,1164.0,4884.0,151.0,448.0,1,0,-1
45,image122,1182_HS_022,4,10,192.13835917433647,183.0,162.0,1296.944500000216,1782,3380.4832254267217,1699.0,5421.0,139.0,430.0,1,0,-1
46,image163,1182_HS_017,5,10,195.85957184136498,184.0,163.0,1811.7225000010803,2153,4119.7552719200885,2063.0,7128.0,138.0,473.0,1,0,-1
47,image204,1182_HS_010,9,9,193.96757372951322,185.0,163.0,1891.944500000216,1596,3004.3996598639455,1521.0,4586.0,142.0,442.0,1,0,-1
48,image103,1182_HS_019,10,10,191.0896633917105,184.0,163.0,1378.8890000004321,1633,3081.168774051677,1554.0,5375.0,155.0,435.0,1,0,-1
49,image040,1182_HS_008,7,7,192.11140743487036,186.0,164.0,984.0,2041,3896.6954225352115,1947.0,5688.0,157.0,437.0,1,0,-1
50,image020,1182_HS_001,7,7,192.6572557064885,184.0,162.0,1051.944500000216,1459,2730.933294324166,1431.0,4011.0,141.0,465.3888999996707,1,0,-1
51,image256,1182_HS_006,5,10,188.37052090340632,182.0,161.0,1075.944500000216,1215,2246.4149286498355,1149.0,3699.0,143.0,510.0,1,0,-1
52,image135,1182_HS_018,8,8,191.43732489718383,184.0,162.0,1566.0,2247,4311.726169844021,2115.0,6018.0,150.0,445.0,1,0,-1
53,image205,1182_HS_011,8,8,189.67664649201933,184.0,163.0,1960.944500000216,1233,2282.713649298975,1139.0,3447.0,158.0,397.0,1,0,-1
54,image196,1182_HS_016,6,6,193.0288406043603,184.0,162.0,1571.8890000004321,2768,5349.153526970955,2697.0,7825.0,153.0,438.0,1,0,-1
55,image189,1182_HS_023,6,6,189.8392264707681,182.0,161.0,1910.0,1428,2682.029028656494,1340.0,4824.0,158.0,412.0,1,0,-1
56,image068,1182_HS_024,6,6,191.2978589679397,183.0,162.0,1780.944500000216,1728,3270.9562790697673,1619.0,6429.0,150.0,437.0,1,0,-1
57,image133,1182_HS_007,11,11,187.51572461510824,182.0,161.0,1118.944500000216,1166,2148.1376418352243,1110.0,3466.0,142.0,420.0,1,0,-1
58,image033,1182_HS_009,8,8,191.0311011745505,185.0,163.0,1662.8335000006482,1631,3077.627432368296,1579.0,5039.0,154.0,424.0,1,0,-1
59,image170,1182_HS_003,7,7,190.5752438061858,184.0,161.0,1248.944500000216,1495,2714.5024839785565,1394.5,3904.5,146.0,462.3888999996707,1,0,-1
60,image254,1182_HS_004,10,10,192.42329493334148,183.0,162.0,1457.0,1245,2303.1699398797596,1106.0,3719.0,143.0,441.0,1,0,-1
61,image006,1182_HS_015,8,8,188.26457127759602,182.0,161.0,1284.8890000004321,1221,2261.147397512667,1132.0,3929.0,149.0,424.0,1,0,-1
62,image219,1182_HS_012,11,11,190.93147149431263,184.0,163.0,1864.944500000216,1474,2762.7446646341464,1339.0,4282.0,121.0,410.0,1,0,-1
63,image182,1182_HS_020,6,6,192.71220478572957,186.0,164.0,694.0,1748,3314.6160616061607,1675.0,4954.0,156.0,426.3888999996707,1,0,-1
