,base_name,max_slice,max_slice_final,gfp_mean,gfp_median,gfp_loQ,gfp_hiQ,otsu_threshold,mean_blob,min_blob,max_blob,bf_loQ,bf_hiQ
0,1116_nHS_008,17,10,191.187929993273,186.0,171.0,661.0,1392,2608.0746513535687,1386.0,3932.0,149.0,440.0
1,1116_nHS_001,0,10,194.10542503401726,189.0,172.0,435.0,1065,1942.3858921161825,1027.0,2984.0,152.0,391.0
2,1116_nHS_006,10,10,192.38540249281434,186.0,171.0,654.0,1600,3019.682768565249,1534.0,5033.0,137.0,436.0
3,1116_nHS_017,4,10,195.90282032587757,188.0,172.0,685.0,1765,3345.0649738610905,1655.0,5615.0,140.0,479.0
4,1116_nHS_010,4,10,198.55125949807362,187.0,171.0,1516.8890000004321,1190,2110.321174096496,1154.0,3292.5,141.0,496.0
5,1116_nHS_019,1,10,191.6058344831672,187.0,172.0,735.0,1279,2373.1850030731407,1219.0,3419.0,147.0,416.0
6,1116_nHS_007,6,6,195.35225574471013,188.0,172.0,639.0,1458,2734.5542082738943,1424.0,4166.0,146.0,478.0
7,1116_nHS_009,5,10,194.85003172394815,187.0,172.0,621.0,1194,2204.2317689530687,1138.0,3247.0,147.0,455.0
8,1116_nHS_018,8,8,193.80010138285837,187.0,172.0,1009.0,1360,2436.934452123716,1355.0,3488.5,147.0,463.0
9,1116_nHS_011,14,14,193.5422298782259,187.0,171.0,865.9445000002161,1381,2576.2554744525546,1328.0,3765.0,139.0,426.0
10,1116_nHS_016,8,8,192.90228307317147,187.0,172.0,847.0,1708,3259.447242206235,1713.0,4702.0,150.0,475.0
11,1116_nHS_020,12,12,191.2061930020028,186.0,171.0,685.9445000002161,1316,2450.7695707070707,1121.0,4083.0,142.0,462.0
12,1116_nHS_015,4,10,197.41311579814396,188.0,172.0,1578.944500000216,1356,2509.1082770305175,1311.0,3884.0,142.0,475.0
13,1116_nHS_012,6,6,193.55637713467772,187.0,172.0,1217.0,2309,4431.467830882353,2309.0,6593.0,150.0,458.0
14,1116_nHS_003,15,15,195.00310359589042,189.0,173.0,567.0,1047,1904.801210025929,1047.0,2916.0,146.0,416.0
15,1116_nHS_004,5,10,197.32957001628242,189.0,173.0,634.0,1280,2368.945778997941,1221.0,3933.0,139.0,506.0
16,1116_nHS_013,6,6,195.56728916952054,188.0,172.0,765.0,1760,3332.209973753281,1689.0,5432.0,142.0,497.0
17,1116_nHS_014,13,13,193.52101209905516,187.0,172.0,746.9445000002161,1195,2160.2462243575237,1174.5,3102.0,145.0,477.0
18,1116_nHS_005,7,7,196.1791686414506,188.0,173.0,1457.0,1328,2463.4347627737225,1259.0,3811.0,146.0,529.0
19,1116_nHS_002,8,8,192.50069324471013,187.0,173.0,750.0,1506,2841.607935440484,1434.0,4282.0,155.0,442.0
20,1116_HS_005,10,10,200.3030026430253,190.0,174.0,2014.0,1030,,,,138.0,471.3888999996707
21,1116_HS_002,8,8,198.40936530126285,191.0,175.0,1241.0,1549,2905.324468085106,1456.0,4287.0,144.0,578.0
22,1116_HS_021,13,13,195.1430415621942,187.0,172.0,2208.0,1306,,,,147.0,438.0
23,1116_HS_013,9,9,190.43803510273972,185.0,170.0,1303.944500000216,1521,2855.4312184166197,1434.0,4469.0,160.0,443.0
24,1116_HS_014,8,8,189.9190931824089,184.0,169.0,1380.0,1489,2775.5462252845377,1439.5,4120.0,145.0,464.0
25,1116_HS_003,10,10,201.67957785171538,192.0,175.0,1611.0,1639,3081.3936739659366,1561.0,4631.0,144.0,433.0
26,1116_HS_004,9,9,196.75787054909185,190.0,173.0,1406.5560000017285,1279,2366.068918302145,1229.0,3465.0,144.0,448.0
27,1116_HS_015,6,6,190.8861657308739,185.0,170.0,1922.8890000004321,1255,2324.2524478463247,1211.5,3431.0,158.0,423.3888999996707
28,1116_HS_012,7,7,189.9843097843536,185.0,170.0,1330.944500000216,1434,2682.453353504791,1309.0,4042.0,156.0,432.3888999996707
29,1116_HS_020,8,8,195.23459764096134,189.0,173.0,1500.0,1286,2382.326480263158,1228.0,4415.0,153.0,459.3888999996707
30,1116_HS_011,7,7,194.27800904514737,188.0,170.0,971.9445000002161,944,1682.3920836619363,873.5,2373.0,137.0,498.0
31,1116_HS_016,6,6,189.031199595233,184.0,169.0,1016.0,1472,2760.6274118429806,1376.0,4081.0,152.0,448.0
32,1116_HS_018,8,8,195.96662129441353,186.0,170.0,2353.0,1735,3285.0553250345783,1613.0,5436.0,153.0,452.0
33,1116_HS_023,7,7,195.9097826336228,187.0,172.0,1353.944500000216,1408,2634.743550834598,1309.0,4109.0,148.0,517.0
34,1116_HS_024,8,8,199.0392012922731,190.0,174.0,1547.0,779,1306.9412896669476,750.8333333333334,2057.9583333333335,113.0,591.3888999996707
35,1116_HS_009,9,9,194.62036323920623,189.0,172.0,1423.0,1194,2202.0048362946177,1079.5,3268.5,153.0,420.0
