,label,area,intensity_mean,intensity_max,intensity_min,base_name
0,1,3169.0,2932.859892710634,5148.0,1507.0,1182_HS_021
0,1,1924.0,2737.3991683991685,4248.0,1378.0,1182_HS_026
0,1,1940.0,2836.789175257732,4653.0,1421.0,1182_HS_013
0,1,992.0,2796.4475806451615,4028.0,1468.0,1182_HS_014
0,1,1282.0,2213.1513260530423,3699.0,1131.0,1241_nHS_015
0,1,1125.0,2817.296888888889,4199.0,1439.0,1241_nHS_012
1,2,846.0,2524.81914893617,3622.0,1419.0,1241_nHS_012
0,1,1310.0,2043.248854961832,3145.0,1085.0,1241_nHS_020
0,1,1542.0,1710.396887159533,2464.0,906.0,1241_nHS_003
0,1,1349.0,2527.522609340252,4343.0,1262.0,1241_nHS_004
0,1,1500.0,2364.236,3572.0,1238.0,1241_nHS_021
0,1,933.0,2478.524115755627,3501.0,1329.0,1241_nHS_013
0,1,1814.0,2401.002205071665,4563.0,1239.0,1241_nHS_014
0,1,1137.0,2930.01055408971,4344.0,1334.0,1241_nHS_005
1,2,592.0,1708.0523648648648,2207.0,1207.0,1241_nHS_005
0,1,1414.0,3000.9024045261667,4726.0,1539.0,1241_nHS_002
0,1,1737.0,1811.853195164076,2931.0,893.0,1241_nHS_001
0,1,1541.0,1920.9565217391305,2664.0,1024.0,1241_nHS_006
0,1,1734.0,2109.010380622837,3606.0,997.0,1241_nHS_008
0,1,1521.0,3210.0,5297.0,1591.0,1241_nHS_019
0,1,1009.0,2392.2903865213084,3591.0,1107.0,1241_nHS_017
1,2,799.0,1823.6145181476845,2446.0,1124.0,1241_nHS_017
0,1,1161.0,3009.083548664944,4452.0,1396.0,1241_nHS_010
1,2,833.0,2032.0120048019207,2757.0,1291.0,1241_nHS_010
0,1,1147.0,4065.9564080209243,5933.0,2039.0,1241_nHS_009
0,1,1162.0,2710.578313253012,4301.0,1277.0,1241_nHS_007
1,2,1096.0,2069.8211678832117,2952.0,1272.0,1241_nHS_007
0,1,1150.0,3298.6295652173912,4730.0,1740.0,1241_nHS_011
0,1,1389.0,2276.688264938805,3419.0,1229.0,1241_nHS_016
0,1,1802.0,1758.369589345172,2847.0,880.0,1241_nHS_018
0,1,2719.0,1698.8378080176535,2567.0,840.0,1242_HS_004
0,1,672.0,2306.6160714285716,3136.0,1455.0,1242_HS_003
1,2,1163.0,3181.2777300085986,4681.0,1454.0,1242_HS_003
0,1,1597.0,2131.1208515967437,3305.0,1102.0,1242_HS_020
0,1,2631.0,1799.9901178259217,3421.0,869.0,1242_HS_012
0,2,2662.0,1806.7344102178813,3282.0,876.0,1242_HS_015
0,3,2032.0,1661.9429133858268,2528.0,859.0,1242_HS_002
0,1,1250.0,2558.2,3611.0,1307.0,1242_HS_005
0,1,1613.0,2168.132672039678,3442.0,1111.0,1242_HS_014
0,2,1441.0,2347.149895905621,3806.0,1037.0,1242_HS_013
0,2,785.0,1398.3082802547772,1866.0,973.0,1242_HS_026
1,3,1587.0,2022.7069943289225,3569.0,885.0,1242_HS_026
0,1,2166.0,1958.545706371191,3508.0,978.0,1242_HS_021
0,2,1885.0,1946.209549071618,3359.0,930.0,1242_HS_019
0,2,1609.0,1944.7669359850838,3568.0,923.0,1242_HS_010
0,1,2771.0,1897.3201010465536,3236.0,960.0,1242_HS_017
0,2,1295.0,2801.696525096525,4069.0,1368.0,1242_HS_022
0,13,1261.0,2376.842188739096,3458.0,989.0,1242_HS_025
1,14,827.0,1637.2527206771463,2320.0,988.0,1242_HS_025
0,1,1339.0,1903.4667662434654,2801.0,990.0,1242_HS_006
0,1,1210.0,2077.115702479339,3307.0,1056.0,1242_HS_001
0,1,1702.0,1390.6580493537015,2024.0,742.0,1242_HS_008
0,6,679.0,1350.039764359352,1973.0,911.0,1242_HS_024
1,9,2701.0,2066.2821177341725,4075.0,850.0,1242_HS_024
0,1,3115.0,1671.4510433386838,2601.0,792.0,1242_HS_023
0,1,2137.0,2449.254562470753,4503.0,1211.0,1242_HS_016
0,4,798.0,632.1303258145364,879.0,411.0,1242_HS_011
1,17,883.0,646.6942242355606,1077.0,435.0,1242_HS_011
